"source","target"
"Wzgórza Krzesławickie","Jarzębiny"
"Jarzębiny","Darwina"
"Darwina","Wiadukty"
"Wiadukty","Wańkowicza"
"Wańkowicza","Kocmyrzowska"
"Kocmyrzowska","Teatr Ludowy"
"Teatr Ludowy","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","Bieńczycka"
"Bieńczycka","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Centralna"
"Centralna","Nowohucka"
"Nowohucka","M1 Al. Pokoju"
"M1 Al. Pokoju","TAURON Arena Kraków Al. Pokoju"
"TAURON Arena Kraków Al. Pokoju","Kraków Plaza"
"Kraków Plaza","Dąbie"
"Dąbie","Ofiar Dąbia"
"Ofiar Dąbia","Fabryczna"
"Fabryczna","Francesco Nullo"
"Francesco Nullo","Teatr Variété"
"Teatr Variété","Rondo Grzegórzeckie"
"Rondo Grzegórzeckie","Hala Targowa"
"Hala Targowa","Starowiślna"
"Starowiślna","Poczta Główna"
"Poczta Główna","Plac Wszystkich Świętych"
"Plac Wszystkich Świętych","Filharmonia"
"Filharmonia","Jubilat"
"Jubilat","Komorowskiego"
"Komorowskiego","Salwator"
"Salwator","Salwator - Wzgórza Krzesławickie"

"Salwator","Salwator"
"Salwator","Komorowskiego"
"Komorowskiego","Jubilat"
"Jubilat","Filharmonia"
"Filharmonia","Teatr Bagatela"
"Teatr Bagatela","Basztowa LOT"
"Basztowa LOT","Dworzec Główny"
"Dworzec Główny","Lubicz"
"Lubicz","Uniwersytet Ekonomiczny"
"Uniwersytet Ekonomiczny","Rakowicka"
"Rakowicka","Cmentarz Rakowicki - Salwator"

"Nowy Bieżanów","Ćwiklińskiej"
"Ćwiklińskiej","Nowy Prokocim"
"Nowy Prokocim","Teligi"
"Teligi","Prokocim Szpital"
"Prokocim Szpital","Prokocim"
"Prokocim","Wlotowa"
"Wlotowa","Bieżanowska"
"Bieżanowska","Kabel"
"Kabel","Dworcowa"
"Dworcowa","Cmentarz Podgórski"
"Cmentarz Podgórski","Powstańców Wielkopolskich"
"Powstańców Wielkopolskich","Plac Bohaterów Getta"
"Plac Bohaterów Getta","Św.Wawrzyńca"
"Św.Wawrzyńca","Miodowa"
"Miodowa","Starowiślna"
"Starowiślna","Poczta Główna"
"Poczta Główna","Dworzec Główny"
"Dworzec Główny","Dworzec Główny Zachód"
"Dworzec Główny Zachód","Politechnika"
"Politechnika","Dworzec Towarowy - Nowy Bieżanów"

"Wzgórza Krzesławickie","Jarzębiny"
"Jarzębiny","Darwina"
"Darwina","Wiadukty"
"Wiadukty","Elektromontaż"
"Elektromontaż","Zajezdnia Nowa Huta"
"Zajezdnia Nowa Huta","Kombinat"
"Kombinat","Struga"
"Struga","Plac Centralny im. R.Reagana"
"Plac Centralny im. R.Reagana","Os.Kolorowe"
"Os.Kolorowe","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Czyżyny"
"Czyżyny","Stella-Sawickiego"
"Stella-Sawickiego","AWF"
"AWF","Muzeum Lotnictwa"
"Muzeum Lotnictwa","Wieczysta"
"Wieczysta","Białucha"
"Białucha","Cystersów"
"Cystersów","Rondo Mogilskie"
"Rondo Mogilskie","Lubicz"
"Lubicz","Dworzec Główny"
"Dworzec Główny","Basztowa LOT"
"Basztowa LOT","Teatr Bagatela"
"Teatr Bagatela","Batorego"
"Batorego","Plac Inwalidów"
"Plac Inwalidów","Urzędnicza"
"Urzędnicza","Biprostal"
"Biprostal","Uniwersytet Pedagogiczny"
"Uniwersytet Pedagogiczny","Głowackiego"
"Głowackiego","Bronowice"
"Bronowice","Wesele"
"Wesele","Balicka Wiadukt"
"Balicka Wiadukt","Bronowice Małe - Wzgórza Krzesławickie"

"Kurdwanów","Witosa"
"Witosa","Nowosądecka"
"Nowosądecka","Piaski Nowe"
"Piaski Nowe","Dauna"
"Dauna","Bieżanowska"
"Bieżanowska","Kabel"
"Kabel","Dworcowa"
"Dworcowa","Cmentarz Podgórski"
"Cmentarz Podgórski","Powstańców Wielkopolskich"
"Powstańców Wielkopolskich","Limanowskiego"
"Limanowskiego","Korona"
"Korona","Plac Wolnica"
"Plac Wolnica","Stradom"
"Stradom","Wawel"
"Wawel","Św.Gertrudy"
"Św.Gertrudy","Plac Wszystkich Świętych"
"Plac Wszystkich Świętych","Filharmonia"
"Filharmonia","Jubilat"
"Jubilat","Komorowskiego"
"Komorowskiego","Salwator"
"Salwator","Salwator - Kurdwanów"

"Dworzec Towarowy","Nowy Kleparz"
"Nowy Kleparz","Pędzichów"
"Pędzichów","Basztowa LOT"
"Basztowa LOT","Dworzec Główny"
