"id","label"
"1","Wzgórza Krzesławickie"
"2","Jarzębiny"
"3","Darwina"
"4","Wiadukty"
"5","Wańkowicza"
"6","Kocmyrzowska"
"7","Teatr Ludowy"
"8","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"9","Bieńczycka"
"10","Rondo Czyżyńskie"
"11","Centralna"
"12","Nowohucka"
"13","M1 Al. Pokoju"
"14","TAURON Arena Kraków Al. Pokoju"
"15","Kraków Plaza"
"16","Dąbie"
"17","Ofiar Dąbia"
"18","Fabryczna"
"19","Francesco Nullo"
"20","Teatr Variété"
"21","Rondo Grzegórzeckie"
"22","Hala Targowa"
"23","Starowiślna"
"24","Poczta Główna"
"25","Plac Wszystkich Świętych"
"26","Filharmonia"
"27","Jubilat"
"28","Komorowskiego"
"29","Salwator"
"30","Teatr Bagatela"
"31","Basztowa LOT"
"32","Dworzec Główny"
"33","Lubicz"
"34","Uniwersytet Ekonomiczny"
"35","Rakowicka"
"36","Nowy Bieżanów"
"37","Ćwiklińskiej"
"38","Nowy Prokocim"
"39","Teligi"
"40","Prokocim Szpital"
"41","Prokocim"
"42","Wlotowa"
"43","Bieżanowska"
"44","Kabel"
"45","Dworcowa"
"46","Cmentarz Podgórski"
"47","Powstańców Wielkopolskich"
"48","Plac Bohaterów Getta"
"49","Św.Wawrzyńca"
"50","Miodowa"
"51","Dworzec Główny Zachód"
"52","Politechnika"
"53","Elektromontaż"
"54","Zajezdnia Nowa Huta"
"55","Kombinat"
"56","Struga"
"57","Plac Centralny im. R.Reagana"
"58","Os.Kolorowe"
"59","Czyżyny"
"60","Stella-Sawickiego"
"61","AWF"
"62","Muzeum Lotnictwa"
"63","Wieczysta"
"64","Białucha"
"65","Cystersów"
"66","Rondo Mogilskie"
"67","Batorego"
"68","Plac Inwalidów"
"69","Urzędnicza"
"70","Biprostal"
"71","Uniwersytet Pedagogiczny"
"72","Głowackiego"
"73","Bronowice"
"74","Wesele"
"75","Balicka Wiadukt"
"76","Kurdwanów"
"77","Witosa"
"78","Nowosądecka"
"79","Piaski Nowe"
"80","Dauna"
"81","Limanowskiego"
"82","Korona"
"83","Plac Wolnica"
"84","Stradom"
"85","Wawel"
"86","Św.Gertrudy"
"87","Dworzec Towarowy"
"88","Nowy Kleparz"
"89","Pędzichów"
"90","Borek Fałęcki"
"91","Borek Fałęcki I"
"92","Solvay"
"93","Sanktuarium Bożego Miłosierdzia"
"94","Łagiewniki"
"95","Rzemieślnicza"
"96","Rondo Matecznego"
"97","Smolki"
"98","Mistrzejowice"
"99","Miśnieńska"
"100","Os.Złotego Wieku"
"101","Rondo Piastowskie"
"102","Dunikowskiego"
"103","Rondo Hipokratesa"
"104","DH Wanda"
"105","Zabłocie"
"106","Klimeckiego"
"107","Kuklińskiego"
"108","Gromadzka"
"109","Lipska"
"110","Dworzec Płaszów Estakada"
"111","Mały Płaszów"
"112","Rzebika"
"113","Brożka"
"114","Borsucza"
"115","Lipińskiego"
"116","Grota-Roweckiego"
"117","Norymberska"
"118","Ruczaj"
"119","Kampus UJ"
"120","Chmieleniec"
"121","Kobierzyńska"
"122","Słomiana"
"123","Kapelanka"
"124","Szwedzka"
"125","Centrum Kongresowe"
"126","Orzeszkowej"
"127","Os.Zgody"
"128","Uniwersytet Jagielloński"
"129","Cracovia"
"130","Oleandry"
"131","Park Jordana"
"132","Reymana"
"133","Kopiec Wandy"
"134","Kleeberga"
"135","Piasta Kołodzieja"
"136","Mrozowa"
"137","Blokowa"
"138","Agencja Kraków Wschód"
"139","Czerwone Maki"
"140","Dworzec Główny Tunel"
"141","Bardosa"
"142","Suche Stawy"
"143","Klasztorna"
"144","Os.Na Skarpie"
"145","Muzeum Inżynierii Miejskiej"
"146","Dajwór"
"147","Os.Piastów"
"148","Malczewskiego"
"149","Aleja Waszyngtona"
"150","Os.Podwawelskie"
"151","Zielińskiego"
"152","Krowodrza Górka"
"153","Krowodrza Urzędy Skarbowe"
"154","Wybickiego"
"155","Łobzów PKP"
"156","Mazowiecka"
"157","Miasteczko Studenckie AGH"
"158","Cichy Kącik"
"159","Słonecznikowa"
"160","Tondosa"
"161","Strzelnica"
"162","Sielanka"
"163","Park Decjusza"
"164","Kasztanowa"
"165","Kopalina"
"166","Zielony Dół"
"167","Chełm"
"168","Chełmska"
"169","Rzepichy"
"170","Kosmowskiej"
"171","Aleja Przyjaźni"
"172","Sołtysowska"
"173","Sołtysowska Zakłady"
"174","Sołtysowska Osiedle"
"175","Sikorki"
"176","Na Załęczu"
"177","Habina"
"178","Odmętowa"
"179","Lasek Łęgowski"
"180","Prądnik Czerwony"
"181","Powstańców Garaże"
"182","Powstańców"
"183","Majora"
"184","Aleja 29 Listopada"
"185","Opolska Estakada"
"186","Uniwersytet Rolniczy"
"187","Biskupa Prandoty"
"188","Cmentarz Rakowicki Zachód"
"189","Rostworowskiego"
"190","Zachodnia"
"191","Torfowa"
"192","Lubostroń"
"193","Skośna"
"194","Kobierzyn"
"195","Babińskiego"
"196","Skotniki"
"197","Brücknera"
"198","Dworzec Płaszów"
"199","Sułkowskiego"
"200","Malborska Szkoła"
"201","Wola Duchacka"
"202","Karpińskiego"
"203","Tuchowska"
"204","Bochenka"
"205","Łużycka"
"206","Piaski Wielkie"
"207","Hala Sportowa Piaski Wielkie"
"208","Niebieska Autostrada"
"209","Kosocice"
"210","Szczegów"
"211","Żelazowskiego"
"212","Barycz"
"213","Krzemieniecka"
"214","Drużbackiej"
"215","Cracovia Stadion"
"216","Księcia Józefa"
"217","Benedyktowicza"
"218","Glinnik"
"219","Przegorzały"
"220","Zaskale"
"221","Na Krępaku"
"222","Bielańskie Skały"
"223","Wodociągi"
"224","Bielany Klasztor"
"225","Bielany Szkoła"
"226","Aleja Róż"
"227","Żeromskiego"
"228","Cmentarz Grębałów Południe"
"229","Cmentarz Grębałów"
"230","Lubocza Bugaj"
"231","Lubocza Przychodnia"
"232","Lubocza Szkoła"
"233","Lubocza Trafo"
"234","Wadowska"
"235","Wadów"
