"line_number","stop_name"
"1","Wzgórza Krzesławickie"
"1","Jarzębiny"
"1","Darwina"
"1","Wiadukty"
"1","Wańkowicza"
"1","Kocmyrzowska"
"1","Teatr Ludowy"
"1","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"1","Bieńczycka"
"1","Rondo Czyżyńskie"
"1","Centralna"
"1","Nowohucka"
"1","M1 Al. Pokoju"
"1","TAURON Arena Kraków Al. Pokoju"
"1","Kraków Plaza"
"1","Dąbie"
"1","Ofiar Dąbia"
"1","Fabryczna"
"1","Francesco Nullo"
"1","Teatr Variété"
"1","Rondo Grzegórzeckie"
"1","Hala Targowa"
"1","Starowiślna"
"1","Poczta Główna"
"1","Plac Wszystkich Świętych"
"1","Filharmonia"
"1","Jubilat"
"1","Komorowskiego"
"1","Salwator"
"2","Salwator"
"2","Salwator"
"2","Komorowskiego"
"2","Jubilat"
"2","Filharmonia"
"2","Teatr Bagatela"
"2","Basztowa LOT"
"2","Dworzec Główny"
"2","Lubicz"
"2","Uniwersytet Ekonomiczny"
"2","Rakowicka"
"3","Nowy Bieżanów"
"3","Ćwiklińskiej"
"3","Nowy Prokocim"
"3","Teligi"
"3","Prokocim Szpital"
"3","Prokocim"
"3","Wlotowa"
"3","Bieżanowska"
"3","Kabel"
"3","Dworcowa"
"3","Cmentarz Podgórski"
"3","Powstańców Wielkopolskich"
"3","Plac Bohaterów Getta"
"3","Św.Wawrzyńca"
"3","Miodowa"
"3","Starowiślna"
"3","Poczta Główna"
"3","Dworzec Główny"
"3","Dworzec Główny Zachód"
"3","Politechnika"
"4","Wzgórza Krzesławickie"
"4","Jarzębiny"
"4","Darwina"
"4","Wiadukty"
"4","Elektromontaż"
"4","Zajezdnia Nowa Huta"
"4","Kombinat"
"4","Struga"
"4","Plac Centralny im. R.Reagana"
"4","Os.Kolorowe"
"4","Rondo Czyżyńskie"
"4","Czyżyny"
"4","Stella-Sawickiego"
"4","AWF"
"4","Muzeum Lotnictwa"
"4","Wieczysta"
"4","Białucha"
"4","Cystersów"
"4","Rondo Mogilskie"
"4","Lubicz"
"4","Dworzec Główny"
"4","Basztowa LOT"
"4","Teatr Bagatela"
"4","Batorego"
"4","Plac Inwalidów"
"4","Urzędnicza"
"4","Biprostal"
"4","Uniwersytet Pedagogiczny"
"4","Głowackiego"
"4","Bronowice"
"4","Wesele"
"4","Balicka Wiadukt"
"6","Kurdwanów"
"6","Witosa"
"6","Nowosądecka"
"6","Piaski Nowe"
"6","Dauna"
"6","Bieżanowska"
"6","Kabel"
"6","Dworcowa"
"6","Cmentarz Podgórski"
"6","Powstańców Wielkopolskich"
"6","Limanowskiego"
"6","Korona"
"6","Plac Wolnica"
"6","Stradom"
"6","Wawel"
"6","Św.Gertrudy"
"6","Plac Wszystkich Świętych"
"6","Filharmonia"
"6","Jubilat"
"6","Komorowskiego"
"6","Salwator"
"7","Dworzec Towarowy"
"7","Nowy Kleparz"
"7","Pędzichów"
"7","Basztowa LOT"
"7","Dworzec Główny"
"7","Lubicz"
"7","Rondo Mogilskie"
"7","Rondo Grzegórzeckie"
"7","Teatr Variété"
"7","Francesco Nullo"
"7","Fabryczna"
"7","Ofiar Dąbia"
"8","Borek Fałęcki"
"8","Borek Fałęcki I"
"8","Solvay"
"8","Sanktuarium Bożego Miłosierdzia"
"8","Łagiewniki"
"8","Rzemieślnicza"
"8","Rondo Matecznego"
"8","Smolki"
"8","Korona"
"8","Plac Wolnica"
"8","Stradom"
"8","Wawel"
"8","Św.Gertrudy"
"8","Plac Wszystkich Świętych"
"8","Filharmonia"
"8","Teatr Bagatela"
"8","Batorego"
"8","Plac Inwalidów"
"8","Urzędnicza"
"8","Biprostal"
"8","Uniwersytet Pedagogiczny"
"8","Głowackiego"
"8","Bronowice"
"8","Wesele"
"8","Balicka Wiadukt"
"9","Mistrzejowice"
"9","Miśnieńska"
"9","Os.Złotego Wieku"
"9","Rondo Piastowskie"
"9","Dunikowskiego"
"9","Rondo Hipokratesa"
"9","DH Wanda"
"9","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"9","Bieńczycka"
"9","Rondo Czyżyńskie"
"9","Czyżyny"
